PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080820013     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820013     ,2020/11/06,    698000,2020/11/16,T11277167           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1745                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820013     ,2011/09/23,    595000,2011/09/30,                    ,Fee conveyance                          ,4101489                                 ,1032307                                 ,        ,        ,892.5                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820013     ,2006/06/08,    700000,2006/06/14,                    ,Fee conveyance                          ,3439865                                 ,809124                                  ,        ,        ,1750                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820013     ,1996/11/15,    265000,1996/11/29,0000000000          ,Fee conveyance                          ,2350631                                 ,483879                                  ,        ,        ,265.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820013     ,1991/05/08,    305000,1991/06/12,0000000000          ,Fee conveyance                          ,1826559                                 ,371090                                  ,        ,        ,152.50                                  ,                                        ,Valid                                   ,X ,Improved
210080820013     ,1991/05/06,    305000,1991/06/12,0000000000          ,Fee conveyance                          ,1826558                                 ,371089                                  ,        ,        ,152.50                                  ,                                        ,Valid                                   ,X ,Improved
210080820013     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820014     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820014     ,2009/12/08,    500000,2009/12/16,                    ,Fee conveyance                          ,3924552                                 ,967427                                  ,        ,        ,750                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820014     ,2005/10/13,    789520,2005/11/01,                    ,Fee conveyance                          ,3349144                                 ,777849                                  ,        ,        ,1973.8                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820014     ,1991/11/04,    341250,1991/05/01,0000000000          ,Fee conveyance                          ,1816913                                 ,368738                                  ,        ,        ,170.60                                  ,                                        ,                                        ,  ,
210080820014     ,1991/04/01,    341250,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
210080820014     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820015     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820015     ,2011/10/18,    313733,2011/10/26,                    ,Fee conveyance                          ,4106557                                 ,1033346                                 ,        ,        ,470.6                                   ,Limited warranty/apartment deed         ,Valid Sale                              ,0 ,Improved
210080820015     ,2011/10/17,    313733,2011/10/26,                    ,Fee conveyance                          ,4106558                                 ,1033347                                 ,        ,        ,470.6                                   ,Apartment deed                          ,Other                                   ,2 ,Improved
210080820015     ,2006/12/27,    950000,2007/01/03,                    ,Fee conveyance                          ,3535745                                 ,840027                                  ,        ,        ,2375                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820015     ,2002/09/10,    390000,2002/09/13,                    ,Fee conveyance                          ,2840213                                 ,622251                                  ,        ,        ,390.00                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
