PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080830007     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830007     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830007     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830007     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830007     ,2006/08/21,          ,2006/11/17,                    ,Fee conveyance                          ,3515026                                 ,833965                                  ,        ,        ,0                                       ,Warranty deed                           ,                                        ,  ,
210080830007     ,1997/03/14,    212100,1997/03/21,0000000000          ,Fee conveyance                          ,2371402                                 ,489083                                  ,        ,        ,212.10                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830007     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830008     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830008     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830008     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830008     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830008     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830008     ,2007/01/15,          ,2007/01/23,                    ,Fee conveyance                          ,3546087                                 ,842372                                  ,        ,        ,0                                       ,Limited warranty/apartment deed         ,                                        ,  ,
210080830008     ,1997/02/14,    232250,1997/02/28,0000000000          ,Fee conveyance                          ,2367936                                 ,488152                                  ,        ,        ,232.30                                  ,                                        ,Developer sale                          ,8 ,Improved
