year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2014,collective,,2014/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2014,tmk,221008083,2014/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2015,collective,,2015/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,12,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2015,tmk,221008083,2015/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,12,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2016,collective,,2016/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,10,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2016,tmk,221008083,2016/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,10,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2017,collective,,2017/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,14,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2017,tmk,221008083,2017/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,14,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2018,collective,,2018/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,13,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2018,tmk,221008083,2018/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,13,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2019,collective,,2019/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,18,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2019,tmk,221008083,2019/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,18,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2020,collective,,2020/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,8,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2020,tmk,221008083,2020/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,8,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2021,collective,,2021/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
