DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,3,9,004,082,0091,2026,,,2777,,S,KIHEI,RD,UNIT,D 103,,C396
2,3,9,004,082,0092,2026,,,2777,,S,KIHEI,RD,UNIT,D 104,,C396
2,3,9,004,082,0093,2026,,,2777,,S,KIHEI,RD,UNIT,D 105,,C396
2,3,9,004,082,0094,2026,,,2777,,S,KIHEI,RD,UNIT,D 106,,C396
2,3,9,004,082,0095,2026,,,2777,,S,KIHEI,RD,UNIT,D 107,,C396
2,3,9,004,082,0096,2026,,,2777,,S,KIHEI,RD,UNIT,D 108,,C396
2,3,9,004,082,0097,2026,,,2777,,S,KIHEI,RD,UNIT,D 109,,C396
2,3,9,004,082,0098,2026,,,2777,,S,KIHEI,RD,UNIT,D 110,,C396
2,3,9,004,082,0099,2026,,,2777,,S,KIHEI,RD,UNIT,D 111,,C396
2,3,9,004,082,0100,2026,,,2777,,S,KIHEI,RD,UNIT,D 112,,C396
2,3,9,004,082,0101,2026,,,2777,,S,KIHEI,RD,UNIT,D 201,,C396
2,3,9,004,082,0102,2026,,,2777,,S,KIHEI,RD,UNIT,D 202,,C396
2,3,9,004,082,0103,2026,,,2777,,S,KIHEI,RD,UNIT,D 203,,C396
2,3,9,004,082,0104,2026,,,2777,,S,KIHEI,RD,UNIT,D 204,,C396
2,3,9,004,082,0105,2026,,,2777,,S,KIHEI,RD,UNIT,D 205,,C396
2,3,9,004,082,0106,2026,,,2777,,S,KIHEI,RD,UNIT,D 206,,C396
2,3,9,004,082,0107,2026,,,2777,,S,KIHEI,RD,UNIT,D 207,,C396
2,3,9,004,082,0108,2026,,,2777,,S,KIHEI,RD,UNIT,D 208,,C396
2,3,9,004,082,0109,2026,,,2777,,S,KIHEI,RD,UNIT,D 209,,C396
2,3,9,004,082,0110,2026,,,2777,,S,KIHEI,RD,UNIT,D 210,,C396
2,3,9,004,082,0111,2026,,,2777,,S,KIHEI,RD,UNIT,D 211,,C396
2,3,9,004,082,0112,2026,,,2777,,S,KIHEI,RD,UNIT,D 212,,C396
2,3,9,004,082,0113,2026,,,2777,,S,KIHEI,RD,UNIT,E 101,,C396
2,3,9,004,082,0114,2026,,,2777,,S,KIHEI,RD,UNIT,E 102,,C396
2,3,9,004,082,0115,2026,,,2777,,S,KIHEI,RD,UNIT,E 103,,C396
2,3,9,004,082,0116,2026,,,2777,,S,KIHEI,RD,UNIT,E 104,,C396
2,3,9,004,082,0117,2026,,,2777,,S,KIHEI,RD,UNIT,E 201,,C396
2,3,9,004,082,0118,2026,,,2777,,S,KIHEI,RD,UNIT,E 202,,C396
2,3,9,004,082,0119,2026,,,2777,,S,KIHEI,RD,UNIT,E 203,,C396
2,3,9,004,082,0120,2026,,,2777,,S,KIHEI,RD,UNIT,E 204,,C396
2,3,9,004,082,0121,2026,,,2777,,S,KIHEI,RD,UNIT,J 101,,C396
2,3,9,004,082,0122,2026,,,2777,,S,KIHEI,RD,UNIT,J 102,,C396
2,3,9,004,082,0123,2026,,,2777,,S,KIHEI,RD,UNIT,J 103,,C396
2,3,9,004,082,0124,2026,,,2777,,S,KIHEI,RD,UNIT,J 104,,C396
2,3,9,004,082,0125,2026,,,2777,,S,KIHEI,RD,UNIT,J 105,,C396
2,3,9,004,082,0126,2026,,,2777,,S,KIHEI,RD,UNIT,J 106,,C396
2,3,9,004,082,0127,2026,,,2777,,S,KIHEI,RD,UNIT,J 107,,C396
2,3,9,004,082,0128,2026,,,2777,,S,KIHEI,RD,UNIT,J 108,,C396
2,3,9,004,082,0129,2026,,,2777,,S,KIHEI,RD,UNIT,J 109,,C396
2,3,9,004,082,0130,2026,,,2777,,S,KIHEI,RD,UNIT,J 110,,C396
2,3,9,004,082,0131,2026,,,2777,,S,KIHEI,RD,UNIT,J 111,,C396
2,3,9,004,082,0132,2026,,,2777,,S,KIHEI,RD,UNIT,J 112,,C396
2,3,9,004,082,0133,2026,,,2777,,S,KIHEI,RD,UNIT,J 114,,C396
2,3,9,004,082,0134,2026,,,2777,,S,KIHEI,RD,UNIT,J 115,,C396
2,3,9,004,082,0135,2026,,,2777,,S,KIHEI,RD,UNIT,J 116,,C396
2,3,9,004,082,0136,2026,,,2777,,S,KIHEI,RD,UNIT,J 117,,C396
2,3,9,004,082,0137,2026,,,2777,,S,KIHEI,RD,UNIT,J 118,,C396
2,3,9,004,082,0138,2026,,,2777,,S,KIHEI,RD,UNIT,J 119,,C396
2,3,9,004,082,0139,2026,,,2777,,S,KIHEI,RD,UNIT,J 120,,C396
2,3,9,004,082,0140,2026,,,2777,,S,KIHEI,RD,UNIT,J 121,,C396
2,3,9,004,082,0141,2026,,,2777,,S,KIHEI,RD,UNIT,J 201,,C396
2,3,9,004,082,0142,2026,,,2777,,S,KIHEI,RD,UNIT,J 202,,C396
2,3,9,004,082,0143,2026,,,2777,,S,KIHEI,RD,UNIT,J 203,,C396
2,3,9,004,082,0144,2026,,,2777,,S,KIHEI,RD,UNIT,J 204,,C396
2,3,9,004,082,0145,2026,,,2777,,S,KIHEI,RD,UNIT,J 205,,C396
2,3,9,004,082,0146,2026,,,2777,,S,KIHEI,RD,UNIT,J 206,,C396
2,3,9,004,082,0147,2026,,,2777,,S,KIHEI,RD,UNIT,J 207,,C396
2,3,9,004,082,0148,2026,,,2777,,S,KIHEI,RD,UNIT,J 208,,C396
2,3,9,004,082,0149,2026,,,2777,,S,KIHEI,RD,UNIT,J 209,,C396
2,3,9,004,082,0150,2026,,,2777,,S,KIHEI,RD,UNIT,J 210,,C396
2,3,9,004,082,0151,2026,,,2777,,S,KIHEI,RD,UNIT,J 211,,C396
2,3,9,004,082,0152,2026,,,2777,,S,KIHEI,RD,UNIT,J 212,,C396
2,3,9,004,082,0153,2026,,,2777,,S,KIHEI,RD,UNIT,J 214,,C396
2,3,9,004,082,0154,2026,,,2777,,S,KIHEI,RD,UNIT,J 215,,C396
2,3,9,004,082,0155,2026,,,2777,,S,KIHEI,RD,UNIT,J 216,,C396
2,3,9,004,082,0156,2026,,,2777,,S,KIHEI,RD,UNIT,J 217,,C396
2,3,9,004,082,0157,2026,,,2777,,S,KIHEI,RD,UNIT,J 218,,C396
2,3,9,004,082,0158,2026,,,2777,,S,KIHEI,RD,UNIT,J 219,,C396
2,3,9,004,082,0159,2026,,,2777,,S,KIHEI,RD,UNIT,J 220,,C396
2,3,9,004,082,0160,2026,,,2777,,S,KIHEI,RD,UNIT,J 221,,C396
2,3,9,004,082,0161,2026,,,2777,,S,KIHEI,RD,UNIT,L 101,,C396
2,3,9,004,082,0162,2026,,,2777,,S,KIHEI,RD,UNIT,L 102,,C396
2,3,9,004,082,0163,2026,,,2777,,S,KIHEI,RD,UNIT,L 103,,C396
2,3,9,004,082,0164,2026,,,2777,,S,KIHEI,RD,UNIT,L 104,,C396
2,3,9,004,082,0165,2026,,,2777,,S,KIHEI,RD,UNIT,L 105,,C396
2,3,9,004,082,0166,2026,,,2777,,S,KIHEI,RD,UNIT,L 106,,C396
2,3,9,004,082,0167,2026,,,2777,,S,KIHEI,RD,UNIT,L 107,,C396
